# Weather station Rohtak, India, WMO_ID=42176,selection from 31.07.2017 till 31.12.2017, all days
"23.11.2017 08:30";"12.0";"";"";"";"63";"Wind blowing from the west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.7";"";"";"";"";"";"";"2.0";"5.1";"";"";"";"";"";"";
"22.11.2017 17:30";"22.0";"";"";"";"33";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"24.9";"";"";"";"";"";"4.0";"5.1";"";"";"";"";"";"";
"21.11.2017 17:30";"21.4";"";"";"";"38";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"23.7";"";"";"";"";"";"4.0";"6.5";"";"";"";"";"";"";
"21.11.2017 08:30";"11.3";"";"";"";"71";"Wind blowing from the west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.2";"";"";"";"";"";"";"2.0";"6.1";"";"";"";"";"";"";
"20.11.2017 17:30";"20.8";"";"";"";"43";"Wind blowing from the west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.8";"";"";"";"";"";"2.0";"7.6";"";"";"";"";"";"";
"20.11.2017 08:30";"10.4";"";"";"";"85";"Wind blowing from the west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.7";"";"";"";"";"";"";"2.0";"7.9";"";"";"";"";"";"";
"19.11.2017 17:30";"21.2";"";"";"";"44";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"21.5";"";"";"";"";"";"4.0";"8.3";"";"";"";"";"";"";
"18.11.2017 17:30";"23.0";"";"";"";"59";"Wind blowing from the west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.0";"";"";"";"";"";"2.0";"14.6";"";"";"";"";"";"";
"18.11.2017 08:30";"16.4";"";"";"";"84";"Wind blowing from the west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"13.7";"";"";"";"";"";"";"2.0";"13.6";"";"";"";"";"";"";
"17.11.2017 17:30";"21.0";"";"";"";"81";"Wind blowing from the west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"21.4";"";"";"";"";"";"2.0";"17.5";"";"";"";"";"";"";
"17.11.2017 08:30";"18.0";"";"";"";"81";"Wind blowing from the west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"14.7";"";"";"";"";"";"";"2.0";"14.6";"";"";"";"";"";"";
"16.11.2017 08:30";"18.0";"";"";"";"75";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"16.2";"";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"15.11.2017 17:30";"20.0";"";"";"";"69";"Wind blowing from the east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.5";"";"";"";"";"";"2.0";"14.2";"";"";"";"";"";"";
"15.11.2017 08:30";"16.0";"";"";"";"81";"Wind blowing from the west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"15.2";"";"";"";"";"";"";"2.0";"12.8";"";"";"";"";"";"";
"14.11.2017 17:30";"24.4";"";"";"";"49";"Wind blowing from the east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"29.5";"";"";"";"";"";"2.0";"13.1";"";"";"";"";"";"";
"14.11.2017 08:30";"17.4";"";"";"";"80";"Wind blowing from the east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"16.2";"";"";"";"";"";"";"2.0";"13.9";"";"";"";"";"";"";
"13.11.2017 17:30";"24.2";"";"";"";"65";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"26.4";"";"";"";"";"";"2.0";"17.1";"";"";"";"";"";"";
"13.11.2017 08:30";"14.4";"";"";"";"93";"Wind blowing from the north";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"12.4";"";"";"";"";"";"";"less than 0.05";"13.3";"";"";"";"";"";"";
"12.11.2017 17:30";"25.0";"";"";"";"62";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.5";"";"";"";"";"";"2.0";"17.3";"";"";"";"";"";"";
"12.11.2017 08:30";"15.0";"";"";"";"91";"Wind blowing from the north";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.8";"";"";"";"";"";"";"1.0";"13.6";"";"";"";"";"";"";
"11.11.2017 17:30";"24.8";"";"";"";"58";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"29.8";"";"";"";"";"";"2.0";"16.0";"";"";"";"";"";"";
"11.11.2017 08:30";"14.2";"";"";"";"96";"Wind blowing from the west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.7";"";"";"";"";"";"";"1.0";"13.5";"";"";"";"";"";"";
"10.11.2017 17:30";"26.6";"";"";"";"57";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"29.8";"";"";"";"";"";"2.0";"17.4";"";"";"";"";"";"";
"09.11.2017 17:30";"26.4";"";"";"";"58";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"29.8";"";"";"";"";"";"2.0";"17.5";"";"";"";"";"";"";
"09.11.2017 08:30";"14.4";"";"";"";"93";"Wind blowing from the south";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.2";"";"";"";"";"";"";"1.0";"13.3";"";"";"";"";"";"";
"08.11.2017 17:30";"24.8";"";"";"";"68";"Wind blowing from the west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.2";"";"";"";"";"";"1.0";"18.5";"";"";"";"";"";"";
"08.11.2017 08:30";"16.2";"";"";"";"96";"Wind blowing from the west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"15.2";"";"";"";"";"";"";"less than 0.05";"15.5";"";"";"";"";"";"";
"07.11.2017 17:30";"25.8";"";"";"";"62";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"29.0";"";"";"";"";"";"2.0";"17.9";"";"";"";"";"";"";
"06.11.2017 17:30";"27.4";"";"";"";"63";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"06.11.2017 08:30";"17.0";"";"";"";"92";"Wind blowing from the north";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"15.2";"";"";"";"";"";"";"1.0";"15.6";"";"";"";"";"";"";
"05.11.2017 17:30";"26.8";"";"";"";"80";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"23.0";"";"";"";"";"";"";
"05.11.2017 08:30";"18.0";"";"";"";"92";"Wind blowing from the west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"15.2";"";"";"";"";"";"";"1.0";"16.7";"";"";"";"";"";"";
"04.11.2017 17:30";"28.0";"";"";"";"70";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"31.1";"";"";"";"";"";"4.0";"22.1";"";"";"";"";"";"";
"04.11.2017 08:30";"19.4";"";"";"";"94";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"17.4";"";"";"";"";"";"";"2.0";"18.4";"";"";"";"";"";"";
"03.11.2017 17:30";"27.0";"";"";"";"43";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"03.11.2017 08:30";"19.4";"";"";"";"94";"Wind blowing from the east";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"17.0";"";"";"";"";"";"";"1.0";"18.4";"";"";"";"";"";"";
"02.11.2017 17:30";"27.2";"";"";"";"84";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"24.3";"";"";"";"";"";"";
"02.11.2017 08:30";"19.4";"";"";"";"94";"Wind blowing from the north";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"17.7";"";"";"";"";"";"";"1.0";"18.4";"";"";"";"";"";"";
"01.11.2017 17:30";"27.0";"";"";"";"70";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"4.0";"21.0";"";"";"";"";"";"";
"31.10.2017 17:30";"28.2";"";"";"";"92";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"32.2";"";"";"";"";"";"4.0";"26.8";"";"";"";"";"";"";
"31.10.2017 08:30";"18.0";"";"";"";"98";"Wind blowing from the south";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"15.7";"";"";"";"";"";"";"2.0";"17.7";"";"";"";"";"";"";
"30.10.2017 08:30";"19.0";"";"";"";"94";"variable wind direction";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"16.2";"";"";"";"";"";"";"2.0";"18.0";"";"";"";"";"";"";
"29.10.2017 17:30";"29.0";"";"";"";"94";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"32.5";"";"";"";"";"";"4.0";"27.9";"";"";"";"";"";"";
"29.10.2017 08:30";"18.0";"";"";"";"96";"Wind blowing from the east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"15.7";"";"";"";"";"";"";"2.0";"17.4";"";"";"";"";"";"";
"28.10.2017 17:30";"29.0";"740.9";"759.7";"";"86";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"33.8";"";"";"";"";"";"4.0";"26.5";"";"";"";"";"";"";
"28.10.2017 08:30";"20.2";"";"";"";"89";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"16.7";"";"";"";"";"";"";"4.0";"18.3";"";"";"";"";"";"";
"27.10.2017 17:30";"29.0";"";"";"";"85";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"33.9";"";"";"";"";"";"4.0";"26.2";"";"";"";"";"";"";
"27.10.2017 08:30";"19.4";"";"";"";"94";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"17.5";"";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"26.10.2017 17:30";"28.4";"742.0";"760.9";"";"78";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"35.0";"";"";"";"";"";"4.0";"24.1";"";"";"";"";"";"";
"25.10.2017 17:30";"30.2";"";"";"";"53";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"35.9";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"25.10.2017 08:30";"20.2";"";"";"";"80";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"15.4";"";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"24.10.2017 17:30";"30.4";"";"";"";"63";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"35.9";"";"";"";"";"";"4.0";"22.5";"";"";"";"";"";"";
"24.10.2017 08:30";"21.4";"";"";"";"79";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"16.4";"";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"23.10.2017 17:30";"30.0";"";"";"";"72";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"36.0";"";"";"";"";"";"4.0";"24.3";"";"";"";"";"";"";
"22.10.2017 08:30";"20.4";"";"";"";"87";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"17.5";"";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"21.10.2017 17:30";"30.4";"";"";"";"63";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"34.2";"";"";"";"";"";"4.0";"22.5";"";"";"";"";"";"";
"21.10.2017 08:30";"21.0";"";"";"";"86";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"17.7";"";"";"";"";"";"";"4.0";"18.5";"";"";"";"";"";"";
"20.10.2017 17:30";"31.4";"";"";"";"60";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"35.0";"";"";"";"";"";"4.0";"22.7";"";"";"";"";"";"";
"20.10.2017 08:30";"22.0";"";"";"";"86";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"17.4";"";"";"";"";"";"";"4.0";"19.5";"";"";"";"";"";"";
"19.10.2017 17:30";"30.2";"";"";"";"64";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"35.8";"";"";"";"";"";"4.0";"22.6";"";"";"";"";"";"";
"19.10.2017 08:30";"21.8";"";"";"";"87";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"18.4";"";"";"";"";"";"";"4.0";"19.6";"";"";"";"";"";"";
"18.10.2017 17:30";"31.8";"";"";"";"70";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"34.2";"";"";"";"";"";"4.0";"25.7";"";"";"";"";"";"";
"18.10.2017 08:30";"21.4";"";"";"";"79";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"17.10.2017 17:30";"32.0";"";"";"";"54";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"37.2";"";"";"";"";"";"4.0";"21.7";"";"";"";"";"";"";
"16.10.2017 08:30";"23.4";"";"";"";"72";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"17.9";"";"";"";"";"";"";"4.0";"18.0";"";"";"";"";"";"";
"15.10.2017 17:30";"31.8";"";"";"";"51";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"36.2";"";"";"";"";"";"4.0";"20.4";"";"";"";"";"";"";
"15.10.2017 08:30";"23.0";"";"";"";"83";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"18.7";"";"";"";"";"";"";"4.0";"19.9";"";"";"";"";"";"";
"14.10.2017 17:30";"30.2";"";"";"";"68";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"36.4";"";"";"";"";"";"4.0";"23.6";"";"";"";"";"";"";
"14.10.2017 08:30";"24.0";"";"";"";"77";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"19.2";"";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"13.10.2017 17:30";"32.4";"";"";"";"59";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"34.2";"";"";"";"";"";"4.0";"23.5";"";"";"";"";"";"";
"13.10.2017 08:30";"25.8";"";"";"";"73";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"20.1";"";"";"";"";"";"";"4.0";"20.6";"";"";"";"";"";"";
"12.10.2017 17:30";"31.8";"";"";"";"66";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"34.2";"";"";"";"";"";"4.0";"24.7";"";"";"";"";"";"";
"12.10.2017 08:30";"25.0";"";"";"";"85";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"21.1";"";"";"";"";"";"";"4.0";"22.3";"";"";"";"";"";"";
"11.10.2017 17:30";"31.2";"";"";"";"64";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"35.0";"";"";"";"";"";"4.0";"23.7";"";"";"";"";"";"";
"10.10.2017 17:30";"32.0";"";"";"";"62";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"36.0";"";"";"";"";"";"4.0";"23.7";"";"";"";"";"";"";
"10.10.2017 08:30";"26.0";"";"";"";"78";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"20.9";"";"";"";"";"";"";"4.0";"21.8";"";"";"";"";"";"";
"09.10.2017 17:30";"32.2";"";"";"";"71";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"36.0";"";"";"";"";"";"4.0";"26.4";"";"";"";"";"";"";
"09.10.2017 08:30";"27.0";"";"";"";"80";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"20.9";"";"";"";"";"";"";"4.0";"23.2";"";"";"";"";"";"";
"08.10.2017 17:30";"32.0";"";"";"";"69";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"36.0";"";"";"";"";"";"4.0";"25.5";"";"";"";"";"";"";
"08.10.2017 08:30";"26.0";"";"";"";"90";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"20.7";"";"";"";"";"";"";"4.0";"24.3";"";"";"";"";"";"";
"07.10.2017 17:30";"31.8";"";"";"";"86";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"34.9";"";"";"";"";"";"4.0";"29.1";"";"";"";"";"";"";
"07.10.2017 08:30";"25.2";"";"";"";"90";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"19.7";"";"";"";"";"";"";"4.0";"23.4";"";"";"";"";"";"";
"01.10.2017 17:30";"33.8";"";"";"";"46";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"35.4";"";"";"";"";"";"4.0";"20.7";"";"";"";"";"";"";
"01.10.2017 08:30";"27.0";"";"";"";"63";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"20.5";"";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"30.09.2017 17:30";"33.4";"";"";"";"50";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"36.0";"";"";"";"";"";"4.0";"21.6";"";"";"";"";"";"";
"30.09.2017 08:30";"25.4";"";"";"";"74";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"21.2";"";"";"";"";"";"";"4.0";"20.5";"";"";"";"";"";"";
"29.09.2017 17:30";"24.4";"";"";"";"96";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"35.4";"";"";"";"";"";"4.0";"23.8";"";"";"";"";"";"";
"29.09.2017 08:30";"29.4";"";"";"";"68";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"22.7";"";"";"";"";"";"";"4.0";"23.0";"";"";"";"";"";"";
"28.09.2017 17:30";"34.0";"";"";"";"65";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"36.0";"";"";"";"";"";"4.0";"26.4";"";"";"";"";"";"";
"28.09.2017 08:30";"28.6";"";"";"";"76";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"23.2";"";"";"";"";"";"";"4.0";"24.0";"";"";"";"";"";"";
"27.09.2017 17:30";"31.8";"";"";"";"68";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"36.4";"";"";"";"";"";"4.0";"25.3";"";"";"";"";"";"";
"27.09.2017 08:30";"28.1";"";"";"";"77";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"23.2";"";"";"";"";"";"";"4.0";"23.7";"";"";"";"";"";"";
"26.09.2017 17:30";"31.8";"";"";"";"74";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"34.9";"";"";"";"";"";"4.0";"26.5";"";"";"";"";"";"";
"25.09.2017 08:30";"27.4";"";"";"";"81";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"22.7";"";"";"";"";"";"";"4.0";"23.9";"";"";"";"";"";"";
"24.09.2017 17:30";"32.6";"";"";"";"68";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"34.4";"";"";"";"";"";"4.0";"26.0";"";"";"";"";"";"";
"23.09.2017 17:30";"27.2";"";"";"";"86";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"30.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.6";"";"";"";"";"";"";
"23.09.2017 08:30";"25.2";"";"";"";"95";"Wind blowing from the north";"1";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.3";"";"";"";"";"";"";
"22.09.2017 17:30";"25.4";"";"";"";"96";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"";"30.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.8";"";"";"";"";"";"";
"22.09.2017 08:30";"27.4";"";"";"";"90";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"25.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.7";"";"";"";"";"";"";
"21.09.2017 17:30";"31.8";"";"";"";"82";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"37.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"28.4";"";"";"";"";"";"";
"21.09.2017 08:30";"27.2";"";"";"";"83";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"25.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2000-2500";"Altostratus translucidus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.0";"";"";"";"";"";"";
"20.09.2017 17:30";"31.8";"";"";"";"71";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"4.0";"25.9";"";"";"";"";"";"";
"19.09.2017 17:30";"31.8";"";"";"";"61";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"36.5";"";"";"";"";"";"4.0";"23.4";"";"";"";"";"";"";
"19.09.2017 08:30";"28.2";"";"";"";"78";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"22.4";"";"";"";"";"";"";"4.0";"23.9";"";"";"";"";"";"";
"18.09.2017 17:30";"31.8";"";"";"";"80";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"34.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"28.0";"";"";"";"";"";"";
"18.09.2017 08:30";"27.2";"";"";"";"83";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"23.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.1";"";"";"";"";"";"";
"17.09.2017 17:30";"31.8";"";"";"";"60";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"33.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.1";"";"";"";"";"";"";
"16.09.2017 08:30";"28.2";"";"";"";"86";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"25.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"25.7";"";"";"";"";"";"";
"15.09.2017 08:30";"29.4";"";"";"";"87";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"26.2";"";"";"";"";"";"";"4.0";"27.0";"";"";"";"";"";"";
"14.09.2017 17:30";"31.8";"";"";"";"84";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"34.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"28.8";"";"";"";"";"";"";
